name,technologies,topics,category
vitrivr,java | angularjs | spark | grpc,retrieval | multimedia | video | audio | 3d,Data and Databases
webpack,javascript | webdevelopment | html5/css3 | node.js | webassembly,tooling | toolchains | compilers | parser | web performance,Programming Languages and Development Tools
Wikimedia Foundation,php | javascript | rubyonrails | android | reactjs,wikipedia | wikimedia | mediawiki | web | education,Web
WorldBrain.io - Verifying the Internet,react | javascript | browserextension | datproject,search | fake-news | decentralization | misinformation | bookmarking,End User Applications
X.org Foundation,opengl | vulkan | x11 | wayland | opencl,graphic stack | 3d acceleration | 2d acceleration | media acceleration | windowing system,Graphics / Video / Audio / Virtual Reality
Xapian Search Engine Library,c++ | unicode | swig | linux | golang,search | information retrieval | machine learning | linguistics | indexing,Data and Databases
XBMC Foundation,python | c/c++ | github | mysql,home theater | audio | video,Graphics / Video / Audio / Virtual Reality
Xi Editor Project,rust | swift,text editing | ide,End User Applications
xpra.org,python | javascript | compression | remoteaccess | cython,graphics | remote access,End User Applications
XWiki,java | javascript | html5 | css3 | velocity,web development | wiki | platform | web applications | structured data,Web
Zulip,python | django | javascript | reactnative | electron,web development | team chat | mobile applications | visual design,Social / Communications
